種類,価格情報区分,地域,市区町村コード,都道府県名,市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,取引価格（総額）,坪単価,間取り,面積（㎡）,取引価格（㎡単価）,土地の形状,間口,延床面積（㎡）,建築年,建物の構造,用途,今後の利用目的,前面道路：方位,前面道路：種類,前面道路：幅員（ｍ）,都市計画,建ぺい率（％）,容積率（％）,取引時期,改装,取引の事情等
宅地(土地),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字山田,本川越,30分～60分,27000000,390000,,230,120000,ほぼ長方形,18,,,,,,東,市道,4.2,１種住居,60,200,2023年第2四半期,,
宅地(土地),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字山田,本川越,30分～60分,22000000,450000,,160,140000,袋地等,,,,,,住宅,南西,道路,4.2,１種住居,60,200,2023年第2四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字山田,本川越,30分～60分,3200000,,,50,,不整形,4,40,1970年,木造,住宅,住宅,北東,道路,4,１低住専,50,80,2023年第1四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字山田,本川越,30分～60分,34000000,,,120,,ほぼ長方形,13.5,105,2022年,木造,住宅,住宅,北東,市道,6,１種住居,60,200,2022年第3四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字山田,本川越,30分～60分,10000000,,,165,,長方形,12,120,1970年,木造,住宅,住宅,北,市道,4,１種住居,60,200,2022年第3四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字山田,本川越,30分～60分,28000000,,,110,,ほぼ長方形,9,85,1997年,木造,住宅,住宅,北西,道路,5,１低住専,50,80,2022年第3四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字山田,本川越,30分～60分,35000000,,,120,,長方形,7.4,105,2022年,木造,住宅,住宅,南東,私道,4,１種住居,60,200,2022年第2四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字山田,本川越,30分～60分,34000000,,,125,,ほぼ長方形,7.1,105,2022年,木造,住宅,住宅,南東,道路,4.2,１種住居,60,200,2022年第2四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字山田,本川越,30分～60分,20000000,,,150,,ほぼ正方形,11.8,125,1993年,木造,共同住宅,住宅,南,道路,6,１種住居,60,200,2022年第2四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字山田,本川越,30分～60分,31000000,,,120,,ほぼ整形,6.5,95,2022年,木造,住宅,住宅,北西,道路,4.2,１種住居,60,200,2022年第2四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字山田,本川越,30分～60分,31000000,,,155,,ほぼ長方形,8.6,105,2021年,木造,住宅,住宅,西,市道,9,準工業,60,200,2022年第1四半期,,
宅地(土地),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字山田,本川越,30分～60分,10000000,73000,,450,22000,ほぼ台形,23,,,,,住宅,南東,市道,6,調整区域,,,2022年第1四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字山田,本川越,30分～60分,31000000,,,500,,袋地等,5.8,105,2020年,木造,住宅,,南,市道,4.9,調整区域,,,2022年第1四半期,,
宅地(土地),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字山田,本川越,30分～60分,13000000,430000,,100,130000,ほぼ長方形,7.5,,,,,住宅,北,市道,6.4,１種住居,60,200,2022年第1四半期,,
宅地(土地),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字山田,本川越,30分～60分,8000000,190000,,140,56000,袋地等,,,,,,その他,北東,道路,4.2,１種住居,60,200,2021年第4四半期,,
宅地(土地),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字山田,本川越,30分～60分,16000000,270000,,190,83000,袋地等,3,,,,,住宅,西,私道,4,準工業,60,200,2021年第3四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字山田,本川越,30分～60分,30000000,,,250,,袋地等,3,105,2021年,木造,住宅,,西,市道,6.5,調整区域,60,200,2021年第3四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字山田,本川越,30分～60分,42000000,,,360,,長方形,18.5,95,2021年,木造,住宅,,東,市道,5,調整区域,,,2021年第2四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字山田,本川越,30分～60分,12000000,,,120,,袋地等,3,100,1993年,木造,住宅,住宅,南,市道,4.6,１種住居,60,200,2021年第2四半期,,
宅地(土地),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字山田,本川越,30分～60分,7500000,80000,,310,24000,長方形,15,,,,,,北西,市道,4.7,調整区域,60,200,2021年第1四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字山田,本川越,30分～60分,35000000,,,175,,ほぼ長方形,10.9,105,2021年,木造,住宅,住宅,南東,道路,4,１種住居,60,200,2021年第1四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字山田,本川越,30分～60分,26000000,,,145,,袋地等,3,90,2020年,木造,住宅,住宅,西,市道,7,１種住居,60,200,2020年第4四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字山田,本川越,30分～60分,24000000,,,145,,袋地等,3.7,95,2020年,木造,住宅,住宅,北,市道,4.8,１種住居,60,200,2020年第3四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字山田,本川越,30分～60分,23000000,,,100,,ほぼ正方形,10,95,2017年,木造,住宅,住宅,東,市道,9.2,２種住居,60,200,2020年第2四半期,,
農地,不動産取引価格情報,,11201,埼玉県,川越市,大字山田,,,200000,,,970,,,,,,,,,,,,,,,2023年第4四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字吉田,霞ケ関(埼玉),14,38000000,,,130,,長方形,11,105,2024年,木造,住宅,住宅,北東,市道,4,１低住専,50,100,2024年第4四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字吉田,霞ケ関(埼玉),18,7200000,,,75,,長方形,8,70,1971年,木造,住宅,その他,東,市道,5.4,調整区域,60,200,2024年第4四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字吉田,霞ケ関(埼玉),11,21000000,,,90,,ほぼ台形,8.4,90,2023年,木造,住宅,住宅,北,私道,4,１低住専,50,100,2024年第1四半期,,
宅地(土地),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字吉田,霞ケ関(埼玉),13,17000000,420000,,130,130000,長方形,11,,,,,住宅,西,市道,4.1,１低住専,50,100,2023年第3四半期,,
宅地(土地),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字吉田,霞ケ関(埼玉),14,16000000,390000,,130,120000,長方形,10,,,,,住宅,北東,市道,4,１低住専,50,100,2023年第2四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字吉田,霞ケ関(埼玉),15,26000000,,,125,,ほぼ長方形,12,100,2023年,木造,住宅,住宅,南西,市道,5.5,調整区域,60,200,2023年第2四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字吉田,霞ケ関(埼玉),15,12000000,,,115,,ほぼ整形,11.3,105,1997年,木造,住宅,住宅,北東,市道,6.2,調整区域,,,2022年第4四半期,,
宅地(土地),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字吉田,霞ケ関(埼玉),14,14000000,360000,,130,110000,長方形,9,,,,,その他,南東,市道,6,１低住専,50,100,2022年第4四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字吉田,霞ケ関(埼玉),9,11000000,,,135,,袋地等,5,35,1971年,木造,住宅,住宅,北東,市道,4.1,１低住専,50,100,2022年第3四半期,,
宅地(土地),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字吉田,霞ケ関(埼玉),18,20000000,190000,,340,59000,袋地等,,,,,,住宅,南,道路,4,調整区域,,,2022年第2四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字吉田,霞ケ関(埼玉),16,11000000,,,115,,長方形,10.5,95,1989年,木造,住宅,住宅,北西,市道,6,調整区域,60,200,2022年第1四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字吉田,霞ケ関(埼玉),12,33000000,,,145,,ほぼ長方形,10,105,2021年,木造,住宅,住宅,西,市道,4.7,１低住専,50,100,2021年第4四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字吉田,霞ケ関(埼玉),20,28000000,,,135,,ほぼ台形,9.5,105,2021年,木造,住宅,住宅,北西,市道,5,調整区域,60,200,2021年第4四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字吉田,霞ケ関(埼玉),15,25000000,,,130,,ほぼ正方形,12,105,2021年,木造,住宅,住宅,北東,市道,8.4,調整区域,60,200,2021年第2四半期,,
宅地(土地),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字吉田,霞ケ関(埼玉),2H～,8000000,270000,,100,81000,長方形,10.2,,,,,住宅,北西,市道,6,調整区域,60,200,2021年第1四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字吉田,霞ケ関(埼玉),2H～,32000000,,,130,,長方形,10.9,105,2021年,木造,住宅,住宅,北東,市道,4,１低住専,50,100,2021年第1四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字吉田,霞ケ関(埼玉),16,11000000,,,115,,ほぼ正方形,10.5,50,1971年,木造,住宅,住宅,南東,市道,4.1,調整区域,60,200,2020年第4四半期,,
宅地(土地),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字吉田,霞ケ関(埼玉),14,17000000,460000,,120,140000,長方形,10,,,,,住宅,南西,市道,4,１低住専,50,100,2020年第4四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字吉田,霞ケ関(埼玉),12,29000000,,,135,,不整形,16.2,110,2020年,,住宅,住宅,南西,市道,6,１種住居,60,200,2020年第3四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字吉田,鶴ケ島,13,19000000,,,490,,台形,30.1,85,1967年,木造,住宅,住宅,東,市道,4,調整区域,60,200,2024年第4四半期,,
宅地(土地),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字吉田,鶴ケ島,13,15000000,240000,,200,74000,ほぼ正方形,13.5,,,,,,南東,市道,4,調整区域,60,200,2024年第3四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字吉田,鶴ケ島,10,66000000,,,360,,ほぼ長方形,10,105,2024年,木造,住宅,,東,道路,4,調整区域,60,200,2023年第4四半期,,
宅地(土地),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字吉田,鶴ケ島,10,22000000,170000,,430,51000,不整形,,,,,,住宅,北,県道,11.1,調整区域,60,200,2023年第3四半期,,
宅地(土地),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字吉田,鶴ケ島,11,22000000,170000,,430,51000,袋地等,,,,,,,北,県道,11,調整区域,60,200,2023年第3四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字吉田,鶴ケ島,9,30000000,,,85,,ほぼ長方形,7,95,2023年,木造,,,南,市道,4,１低住専,50,100,2023年第2四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字吉田,鶴ケ島,11,12000000,,,100,,ほぼ正方形,10,85,1998年,木造,住宅,住宅,北西,県道,8.8,調整区域,,,2022年第1四半期,,
宅地(土地),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字吉田,鶴ケ島,16,14000000,140000,,340,42000,不整形,,,,,,住宅,南東,道路,3.5,調整区域,60,200,2021年第1四半期,,
宅地(土地),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字吉田,鶴ケ島,14,500000,8200,,200,2500,ほぼ整形,33,,,,,,北東,市道,7,調整区域,60,200,2020年第3四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,大字吉田,鶴ケ島,16,14000000,,,160,,袋地等,3,120,1993年,木造,住宅,住宅,北,市道,4,調整区域,60,200,2020年第1四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,吉田新町,鶴ケ島,16,24000000,,,180,,ほぼ長方形,15.9,105,1989年,木造,住宅,住宅,南西,市道,6,２低住専,60,200,2024年第4四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,吉田新町,鶴ケ島,13,23000000,,,100,,不整形,14.8,85,2018年,木造,住宅,住宅,北,県道,12,２種住居,60,200,2024年第4四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,吉田新町,鶴ケ島,15,83000000,,,200,,長方形,11.5,175,2023年,木造,住宅,住宅,北西,市道,5.8,２低住専,60,200,2024年第3四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,吉田新町,鶴ケ島,18,26000000,,,100,,ほぼ長方形,8,100,2023年,木造,住宅,住宅,北西,市道,6,２低住専,60,200,2024年第1四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,吉田新町,鶴ケ島,18,23000000,,,100,,袋地等,2.5,85,2023年,木造,住宅,その他,北西,市道,6,２低住専,60,200,2024年第1四半期,,
宅地(土地),不動産取引価格情報,住宅地,11201,埼玉県,川越市,吉田新町,鶴ケ島,20,22000000,480000,,155,140000,ほぼ長方形,15.5,,,,,住宅,南東,市道,5,２低住専,60,200,2024年第1四半期,,
宅地(土地),不動産取引価格情報,住宅地,11201,埼玉県,川越市,吉田新町,鶴ケ島,19,13000000,120000,,370,35000,不整形,19.5,,,,,,北西,市道,6,２低住専,60,200,2023年第4四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,吉田新町,鶴ケ島,15,34000000,,,195,,長方形,18,145,2006年,木造,共同住宅,その他,北西,市道,5.6,２低住専,60,200,2023年第1四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,吉田新町,鶴ケ島,21,23000000,,,95,,長方形,9,90,2022年,木造,住宅,住宅,北西,市道,16,１中住専,60,200,2023年第1四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,吉田新町,鶴ケ島,18,33000000,,,120,,ほぼ長方形,7.8,105,2022年,木造,住宅,住宅,南西,市道,6,２低住専,60,200,2022年第3四半期,,
宅地(土地),不動産取引価格情報,住宅地,11201,埼玉県,川越市,吉田新町,鶴ケ島,14,34000000,560000,,200,170000,長方形,11.5,,,,,住宅,北西,市道,6,２低住専,60,200,2022年第3四半期,,
宅地(土地),不動産取引価格情報,住宅地,11201,埼玉県,川越市,吉田新町,鶴ケ島,19,24000000,430000,,185,130000,長方形,15,,,,,住宅,北西,市道,6.2,２低住専,60,200,2022年第3四半期,,
宅地(土地),不動産取引価格情報,住宅地,11201,埼玉県,川越市,吉田新町,鶴ケ島,16,35000000,570000,,200,170000,ほぼ長方形,11.5,,,,,住宅,北西,市道,6,２低住専,60,200,2022年第3四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,吉田新町,鶴ケ島,18,36000000,,,120,,ほぼ長方形,7.8,105,2022年,木造,住宅,住宅,南西,市道,6,２低住専,60,200,2022年第1四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,吉田新町,鶴ケ島,19,19000000,,,185,,長方形,15,80,1983年,木造,住宅,住宅,北西,市道,6,２種住居,60,200,2022年第1四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,吉田新町,鶴ケ島,16,3000000,,,35,,台形,6,30,1972年,木造,住宅,住宅,北西,市道,4,２低住専,60,200,2021年第4四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,吉田新町,鶴ケ島,20,16000000,,,175,,ほぼ長方形,8.2,85,1983年,木造,住宅,住宅,南西,市道,6,２低住専,60,200,2021年第3四半期,,調停・競売等
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,吉田新町,鶴ケ島,16,22000000,,,145,,ほぼ長方形,8.4,140,1997年,ＲＣ,住宅、駐車場,住宅,北西,市道,6,２低住専,60,200,2021年第2四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,吉田新町,鶴ケ島,19,40000000,,,330,,ほぼ長方形,10.5,310,1985年,木造,共同住宅,住宅,南東,市道,6,２低住専,60,200,2021年第1四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,吉田新町,鶴ケ島,20,22000000,,,115,,袋地等,2.5,95,2017年,木造,住宅,住宅,北東,市道,6,２低住専,60,200,2020年第4四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,吉田新町,鶴ケ島,19,15000000,,,170,,長方形,10.6,105,1983年,木造,住宅,住宅,南東,市道,6,２低住専,60,200,2020年第2四半期,,
宅地(土地と建物),不動産取引価格情報,工業地,11201,埼玉県,川越市,芳野台,本川越,1H～1H30,250000000,,,"2,000㎡以上",,長方形,50.0m以上,1400,1991年,鉄骨造,工場,工場,北東,市道,17.6,工業専用,60,200,2022年第1四半期,,
宅地(土地と建物),不動産取引価格情報,工業地,11201,埼玉県,川越市,芳野台,本川越,1H～1H30,100000000,,,1000,,ほぼ長方形,39.2,1300,1981年,鉄骨造,工場,工場,北西,市道,6,工業専用,60,200,2020年第4四半期,,
宅地(土地と建物),不動産取引価格情報,工業地,11201,埼玉県,川越市,芳野台,南古谷,1H～1H30,67000000,,,660,,ほぼ正方形,25.7,160,1980年,鉄骨造,事務所,工場,南西,市道,11,工業専用,60,200,2020年第4四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,四都野台,南大塚,18,33000000,,,210,,長方形,12.1,160,1991年,木造,共同住宅,住宅,南西,市道,5.8,１低住専,50,100,2024年第4四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,四都野台,南大塚,18,3900000,,,55,,長方形,5,45,1972年,木造,住宅,住宅,北西,市道,4,１低住専,50,100,2024年第2四半期,,
宅地(土地),不動産取引価格情報,住宅地,11201,埼玉県,川越市,四都野台,南大塚,21,30000000,500000,,200,150000,ほぼ長方形,13.2,,,,,,南,市道,6,１低住専,50,80,2021年第2四半期,,
宅地(土地),不動産取引価格情報,商業地,11201,埼玉県,川越市,連雀町,本川越,8,2100000,49000,,140,15000,不整形,2.8,,,,,その他,西,県道,12,商業,80,400,2024年第3四半期,,
中古マンション等,不動産取引価格情報,,11201,埼玉県,川越市,連雀町,本川越,9,4300000,,,15,,,,,1991年,ＲＣ,住宅,住宅,,,,商業,80,400,2024年第3四半期,未改装,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,連雀町,本川越,8,380000000,,,390,,ほぼ長方形,9.8,550,2024年,軽量鉄骨造,共同住宅,住宅,北西,市道,3.8,商業,80,400,2024年第1四半期,,
中古マンション等,不動産取引価格情報,,11201,埼玉県,川越市,連雀町,本川越,8,15000000,,３ＬＤＫ,55,,,,,1987年,ＳＲＣ,住宅,住宅,,,,商業,80,400,2024年第1四半期,未改装,
中古マンション等,不動産取引価格情報,,11201,埼玉県,川越市,連雀町,本川越,8,41000000,,４ＬＤＫ,80,,,,,2009年,ＲＣ,住宅,住宅,,,,商業,80,400,2023年第4四半期,未改装,
宅地(土地と建物),不動産取引価格情報,商業地,11201,埼玉県,川越市,連雀町,本川越,7,30000000,,,75,,ほぼ整形,7.2,120,1972年,木造,住宅、工場,店舗,東,市道,7.4,商業,80,400,2023年第3四半期,,
中古マンション等,不動産取引価格情報,,11201,埼玉県,川越市,連雀町,本川越,9,4200000,,１Ｋ,15,,,,,1991年,ＲＣ,,,,,,商業,80,400,2023年第3四半期,未改装,
中古マンション等,不動産取引価格情報,,11201,埼玉県,川越市,連雀町,本川越,11,38000000,,２ＬＤＫ,60,,,,,2009年,ＲＣ,住宅,住宅,,,,商業,80,400,2023年第3四半期,改装済み,
中古マンション等,不動産取引価格情報,,11201,埼玉県,川越市,連雀町,本川越,8,32000000,,３ＬＤＫ,60,,,,,2009年,ＲＣ,住宅,住宅,,,,商業,80,400,2023年第3四半期,未改装,
宅地(土地と建物),不動産取引価格情報,商業地,11201,埼玉県,川越市,連雀町,本川越,6,50000000,,,55,,長方形,6,100,2023年,木造,住宅,住宅,南,市道,6.6,商業,80,400,2023年第2四半期,,
宅地(土地),不動産取引価格情報,商業地,11201,埼玉県,川越市,連雀町,本川越,6,37000000,1600000,,75,500000,袋地等,3,,,,,店舗,南,市道,6.6,商業,80,400,2023年第1四半期,,
中古マンション等,不動産取引価格情報,,11201,埼玉県,川越市,連雀町,本川越,9,4400000,,１Ｋ,15,,,,,1991年,ＲＣ,住宅,,,,,商業,80,400,2023年第1四半期,未改装,
中古マンション等,不動産取引価格情報,,11201,埼玉県,川越市,連雀町,本川越,6,34000000,,３ＬＤＫ,75,,,,,2001年,ＲＣ,住宅,住宅,,,,商業,80,400,2023年第1四半期,未改装,
中古マンション等,不動産取引価格情報,,11201,埼玉県,川越市,連雀町,本川越,7,30000000,,３ＬＤＫ,65,,,,,1998年,ＳＲＣ,住宅,住宅,,,,商業,80,400,2022年第4四半期,改装済み,
中古マンション等,不動産取引価格情報,,11201,埼玉県,川越市,連雀町,本川越,10,23000000,,３ＬＤＫ,55,,,,,1987年,ＳＲＣ,住宅,住宅,,,,商業,80,400,2022年第3四半期,改装済み,
中古マンション等,不動産取引価格情報,,11201,埼玉県,川越市,連雀町,本川越,8,27000000,,２ＬＤＫ,55,,,,,1987年,ＳＲＣ,,住宅,,,,商業,80,400,2022年第3四半期,改装済み,
中古マンション等,不動産取引価格情報,,11201,埼玉県,川越市,連雀町,本川越,8,22000000,,２ＬＤＫ,55,,,,,1987年,ＳＲＣ,,住宅,,,,商業,80,400,2022年第3四半期,改装済み,
中古マンション等,不動産取引価格情報,,11201,埼玉県,川越市,連雀町,本川越,8,35000000,,３ＬＤＫ,70,,,,,2009年,ＲＣ,,住宅,,,,商業,80,400,2022年第3四半期,未改装,
中古マンション等,不動産取引価格情報,,11201,埼玉県,川越市,連雀町,本川越,8,2000000,,１Ｒ,15,,,,,1991年,ＲＣ,,住宅,,,,商業,80,400,2022年第1四半期,未改装,
中古マンション等,不動産取引価格情報,,11201,埼玉県,川越市,連雀町,本川越,8,13000000,,２ＤＫ,55,,,,,1987年,ＳＲＣ,住宅,住宅,,,,商業,80,400,2022年第1四半期,未改装,
中古マンション等,不動産取引価格情報,,11201,埼玉県,川越市,連雀町,本川越,8,33000000,,３ＬＤＫ,70,,,,,2009年,ＲＣ,住宅,住宅,,,,商業,80,400,2021年第3四半期,改装済み,
中古マンション等,不動産取引価格情報,,11201,埼玉県,川越市,連雀町,本川越,7,37000000,,４ＬＤＫ,80,,,,,2009年,ＲＣ,住宅,住宅,,,,商業,80,400,2021年第2四半期,,
中古マンション等,不動産取引価格情報,,11201,埼玉県,川越市,連雀町,本川越,8,27000000,,３ＬＤＫ,60,,,,,2009年,ＲＣ,住宅,住宅,,,,商業,80,400,2021年第2四半期,,
中古マンション等,不動産取引価格情報,,11201,埼玉県,川越市,連雀町,本川越,6,25000000,,３ＬＤＫ,75,,,,,2001年,ＲＣ,,その他,,,,商業,80,400,2021年第2四半期,未改装,調停・競売等
中古マンション等,不動産取引価格情報,,11201,埼玉県,川越市,連雀町,本川越,8,3400000,,１Ｋ,15,,,,,1991年,ＲＣ,住宅,住宅,,,,商業,80,400,2020年第4四半期,未改装,
中古マンション等,不動産取引価格情報,,11201,埼玉県,川越市,連雀町,本川越,7,29000000,,３ＬＤＫ,65,,,,,1998年,ＳＲＣ,,住宅,,,,商業,80,400,2020年第3四半期,改装済み,
中古マンション等,不動産取引価格情報,,11201,埼玉県,川越市,連雀町,本川越,8,3100000,,１Ｋ,15,,,,,1991年,ＲＣ,,,,,,商業,80,400,2020年第3四半期,未改装,
中古マンション等,不動産取引価格情報,,11201,埼玉県,川越市,連雀町,本川越,10,2700000,,１Ｋ,15,,,,,1991年,ＲＣ,,住宅,,,,商業,80,400,2020年第2四半期,未改装,
中古マンション等,不動産取引価格情報,,11201,埼玉県,川越市,連雀町,本川越,7,35000000,,２ＬＤＫ,60,,,,,2012年,ＳＲＣ,住宅,住宅,,,,商業,80,400,2020年第1四半期,改装済み,
宅地(土地),不動産取引価格情報,住宅地,11201,埼玉県,川越市,六軒町,川越市,7,180000000,940000,,640,280000,不整形,16.7,,,,,住宅,西,市道,18,１種住居,60,200,2024年第1四半期,,
宅地(土地),不動産取引価格情報,商業地,11201,埼玉県,川越市,六軒町,川越市,5,15000000,1000000,,50,300000,ほぼ台形,5.8,,,,,その他,北西,県道,8.3,近隣商業,80,200,2023年第4四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,六軒町,川越市,8,150000000,,,830,,袋地等,8,400,1996年,木造,住宅、その他,住宅,西,市道,8.4,近隣商業,80,200,2023年第4四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,六軒町,川越市,6,190000000,,,890,,長方形,15,930,1973年,鉄骨造,共同住宅、店舗,住宅,北西,県道,7.5,１種住居,60,200,2023年第3四半期,,
宅地(土地),不動産取引価格情報,住宅地,11201,埼玉県,川越市,六軒町,川越市,8,16000000,530000,,100,160000,長方形,6,,,,,住宅,南西,市道,5.1,１種住居,60,200,2022年第2四半期,,
宅地(土地),不動産取引価格情報,住宅地,11201,埼玉県,川越市,六軒町,川越市,9,45000000,1100000,,130,340000,長方形,12,,,,,住宅,北,市道,5,１種住居,60,200,2022年第2四半期,,
宅地(土地),不動産取引価格情報,住宅地,11201,埼玉県,川越市,六軒町,川越市,9,31000000,1000000,,100,310000,長方形,9.6,,,,,住宅,北,市道,5,近隣商業,80,200,2022年第1四半期,,
宅地(土地),不動産取引価格情報,商業地,11201,埼玉県,川越市,六軒町,川越市,10,49000000,930000,,175,280000,ほぼ長方形,13,,,,,,東,市道,8.3,近隣商業,80,200,2021年第1四半期,,
宅地(土地と建物),不動産取引価格情報,商業地,11201,埼玉県,川越市,六軒町,川越市,7,50000000,,,290,,不整形,9.5,120,1978年,鉄骨造,住宅,事務所,西,市道,8.2,近隣商業,80,200,2021年第1四半期,,
宅地(土地),不動産取引価格情報,住宅地,11201,埼玉県,川越市,六軒町,川越市,13,34000000,680000,,165,210000,袋地等,3,,,,,,北,市道,6,１種住居,60,200,2020年第4四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,脇田新町,川越,18,39000000,,,165,,ほぼ長方形,9.6,150,1986年,木造,共同住宅,,南西,道路,,１中住専,60,200,2024年第4四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,脇田新町,川越,15,29000000,,,80,,袋地等,3.2,90,2024年,木造,住宅,住宅,北西,市道,4,準住居,60,200,2024年第2四半期,,
宅地(土地と建物),不動産取引価格情報,住宅地,11201,埼玉県,川越市,脇田新町,川越,13,41000000,,,200,,台形,17,35,2020年,木造,住宅,店舗,北西,市道,6,１種住居,60,200,2024年第2四半期,,
